Date,Count
1/10/1914,
1/22/1914,
2/01/1914,
2/02/1914,
3/05/1914,
4/22/1914,
5/12/1914,
5/29/1914,
6/13/1914,
8/16/1914,
8/19/1914,
8/22/1914,
8/25/1914,
9/02/1914,
9/11/1914,
9/14/1914,
9/15/1914,
10/17/1914,
10/18/1914,
7/07/1914,
7/07/1914,
7/07/1914,
10/25/1914,
11/17/1914,
11/20/1914,
12/14/1914,
12/16/1914,
12/23/1914,
12/26/1914,
12/27/1914,
12/29/1914,
12/30/1914,
12/31/1914,
1/06/1915,
1/10/1915,
1/14/1915,
1/15/1915,
1/05/1915,
2/05/1915,1
2/06/1915,1
2/08/1915,2
2/09/1915,1
2/10/1915,1
2/11/1915,2
2/15/1915,1
2/21/1915,1
3/03/1915,1
3/06/1915,1
3/11/1915,1
3/12/1915,1
3/14/1915,1
3/17/1915,1
3/18/1915,1
3/19/1915,1
3/20/1915,1
3/21/1915,1
3/23/1915,1
4/01/1915,3
4/11/1915,2
4/12/1915,1
4/16/1915,1
4/21/1915,1
4/22/1915,1
4/23/1915,1
4/24/1915,2
4/25/1915,159
4/26/1915,29
4/27/1915,39
4/28/1915,16
4/29/1915,34
4/30/1915,11
5/01/1915,23
5/02/1915,141
5/03/1915,24
5/04/1915,11
5/05/1915,6
5/06/1915,14
5/07/1915,10
5/08/1915,178
5/09/1915,26
5/10/1915,21
5/11/1915,9
5/12/1915,8
5/13/1915,2
5/14/1915,7
5/15/1915,7
5/16/1915,9
5/17/1915,8
5/18/1915,7
5/19/1915,32
5/20/1915,9
5/21/1915,2
5/22/1915,9
5/23/1915,5
5/24/1915,2
5/25/1915,1
5/26/1915,9
5/27/1915,2
5/28/1915,5
5/29/1915,4
5/30/1915,34
5/31/1915,14
6/01/1915,8
6/02/1915,8
6/03/1915,3
6/04/1915,4
6/05/1915,35
6/06/1915,13
6/07/1915,6
6/08/1915,14
6/09/1915,5
6/10/1915,7
6/11/1915,10
6/12/1915,5
6/13/1915,4
6/15/1915,5
6/16/1915,7
6/17/1915,5
6/18/1915,5
6/19/1915,3
6/20/1915,3
6/21/1915,4
6/22/1915,6
6/23/1915,4
6/24/1915,2
6/25/1915,4
6/26/1915,5
6/27/1915,5
6/28/1915,5
6/29/1915,5
6/30/1915,3
7/01/1915,7
7/02/1915,4
7/03/1915,3
7/04/1915,5
7/05/1915,4
7/06/1915,2
7/07/1915,8
7/08/1915,3
7/09/1915,3
7/10/1915,5
7/11/1915,4
7/12/1915,3
7/13/1915,12
7/14/1915,4
7/15/1915,3
7/16/1915,4
7/17/1915,5
7/18/1915,4
7/19/1915,1
7/20/1915,6
7/21/1915,5
7/22/1915,2
7/23/1915,8
